rating,comment,date,reviewerName,reviewerEmail,product_id
3,Would not recommend!,2025-04-30T09:41:02.053Z,Eleanor Collins,eleanor.collins@x.dummyjson.com,1
4,Very satisfied!,2025-04-30T09:41:02.053Z,Lucas Gordon,lucas.gordon@x.dummyjson.com,1
5,Highly impressed!,2025-04-30T09:41:02.053Z,Eleanor Collins,eleanor.collins@x.dummyjson.com,1
5,Great product!,2025-04-30T09:41:02.053Z,Savannah Gomez,savannah.gomez@x.dummyjson.com,2
4,Awesome product!,2025-04-30T09:41:02.053Z,Christian Perez,christian.perez@x.dummyjson.com,2
1,Poor quality!,2025-04-30T09:41:02.053Z,Nicholas Bailey,nicholas.bailey@x.dummyjson.com,2
4,Would buy again!,2025-04-30T09:41:02.053Z,Alexander Jones,alexander.jones@x.dummyjson.com,3
5,Highly impressed!,2025-04-30T09:41:02.053Z,Elijah Cruz,elijah.cruz@x.dummyjson.com,3
1,Very dissatisfied!,2025-04-30T09:41:02.053Z,Avery Perez,avery.perez@x.dummyjson.com,3
4,Great product!,2025-04-30T09:41:02.053Z,Liam Garcia,liam.garcia@x.dummyjson.com,4
5,Great product!,2025-04-30T09:41:02.053Z,Ruby Andrews,ruby.andrews@x.dummyjson.com,4
5,Would buy again!,2025-04-30T09:41:02.053Z,Clara Berry,clara.berry@x.dummyjson.com,4
2,Poor quality!,2025-04-30T09:41:02.053Z,Benjamin Wilson,benjamin.wilson@x.dummyjson.com,5
5,Great product!,2025-04-30T09:41:02.053Z,Liam Smith,liam.smith@x.dummyjson.com,5
1,Very unhappy with my purchase!,2025-04-30T09:41:02.053Z,Clara Berry,clara.berry@x.dummyjson.com,5
2,Very disappointed!,2025-04-30T09:41:02.053Z,Layla Young,layla.young@x.dummyjson.com,6
4,Fast shipping!,2025-04-30T09:41:02.053Z,Daniel Cook,daniel.cook@x.dummyjson.com,6
3,Not as described!,2025-04-30T09:41:02.053Z,Jacob Cooper,jacob.cooper@x.dummyjson.com,6
4,Highly impressed!,2025-04-30T09:41:02.053Z,Ruby Andrews,ruby.andrews@x.dummyjson.com,7
5,Awesome product!,2025-04-30T09:41:02.053Z,Leah Henderson,leah.henderson@x.dummyjson.com,7
5,Very happy with my purchase!,2025-04-30T09:41:02.053Z,Xavier Wright,xavier.wright@x.dummyjson.com,7
5,Great value for money!,2025-04-30T09:41:02.053Z,Nicholas Bailey,nicholas.bailey@x.dummyjson.com,8
4,Great value for money!,2025-04-30T09:41:02.053Z,Penelope Harper,penelope.harper@x.dummyjson.com,8
4,Great product!,2025-04-30T09:41:02.053Z,Emma Miller,emma.miller@x.dummyjson.com,8
4,Would buy again!,2025-04-30T09:41:02.053Z,Mateo Bennett,mateo.bennett@x.dummyjson.com,9
4,Highly recommended!,2025-04-30T09:41:02.053Z,Nolan Gonzalez,nolan.gonzalez@x.dummyjson.com,9
5,Very happy with my purchase!,2025-04-30T09:41:02.053Z,Aurora Lawson,aurora.lawson@x.dummyjson.com,9
1,Very dissatisfied!,2025-04-30T09:41:02.053Z,Cameron Perez,cameron.perez@x.dummyjson.com,10
5,Very happy with my purchase!,2025-04-30T09:41:02.053Z,Daniel Cook,daniel.cook@x.dummyjson.com,10
4,Highly impressed!,2025-04-30T09:41:02.053Z,Addison Wright,addison.wright@x.dummyjson.com,10
2,Would not recommend!,2025-04-30T09:41:02.053Z,Christopher West,christopher.west@x.dummyjson.com,11
4,Highly impressed!,2025-04-30T09:41:02.053Z,Vivian Carter,vivian.carter@x.dummyjson.com,11
1,Poor quality!,2025-04-30T09:41:02.053Z,Mason Wright,mason.wright@x.dummyjson.com,11
3,Very unhappy with my purchase!,2025-04-30T09:41:02.053Z,Christian Perez,christian.perez@x.dummyjson.com,12
5,Fast shipping!,2025-04-30T09:41:02.053Z,Lillian Bishop,lillian.bishop@x.dummyjson.com,12
1,Poor quality!,2025-04-30T09:41:02.053Z,Lillian Simmons,lillian.simmons@x.dummyjson.com,12
4,Excellent quality!,2025-04-30T09:41:02.053Z,Aaliyah Hanson,aaliyah.hanson@x.dummyjson.com,13
4,Excellent quality!,2025-04-30T09:41:02.053Z,Liam Smith,liam.smith@x.dummyjson.com,13
4,Highly recommended!,2025-04-30T09:41:02.053Z,Avery Barnes,avery.barnes@x.dummyjson.com,13
2,Waste of money!,2025-04-30T09:41:02.053Z,Ella Cook,ella.cook@x.dummyjson.com,14
2,Very dissatisfied!,2025-04-30T09:41:02.053Z,Clara Berry,clara.berry@x.dummyjson.com,14
5,Would buy again!,2025-04-30T09:41:02.053Z,Elena Long,elena.long@x.dummyjson.com,14
4,Fast shipping!,2025-04-30T09:41:02.053Z,Logan Torres,logan.torres@x.dummyjson.com,15
5,Very pleased!,2025-04-30T09:41:02.053Z,Aria Parker,aria.parker@x.dummyjson.com,15
3,Poor quality!,2025-04-30T09:41:02.053Z,Dylan Wells,dylan.wells@x.dummyjson.com,15
5,Very satisfied!,2025-04-30T09:41:02.053Z,Sophia Brown,sophia.brown@x.dummyjson.com,16
